Condition,Balance,Constraint,Classifier,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,DPD,EOD,FNR_Women
1,None,DemographicParity,Logistic Regression,0.7586666666666668,0.6784126984126985,0.8790476190476191,0.47777777777777775,0.03733832008726819,0.08771929824561404,0.1
2,None,DemographicParity,Random Forest,0.7526666666666666,0.6252380952380953,0.9438095238095239,0.3066666666666667,0.08705002337540904,0.09609250398724083,0.1
3,None,EqualizedOdds,Logistic Regression,0.7633333333333333,0.6817460317460318,0.8857142857142858,0.47777777777777775,0.0503350475299984,0.05901116427432218,0.11666666666666667
4,None,EqualizedOdds,Random Forest,0.7553333333333333,0.6430158730158729,0.9238095238095239,0.3622222222222223,0.0800062334424186,0.08968421052631577,0.10666666666666666
5,None,EqualOpportunity,Logistic Regression,0.7666666666666666,0.6853968253968254,0.8885714285714286,0.4822222222222222,0.054417952314165484,0.061562998405103674,0.11666666666666667
6,None,EqualOpportunity,Random Forest,0.7540000000000001,0.6401587301587301,0.9247619047619047,0.3555555555555555,0.093221131369799,0.11068261562998405,0.11333333333333336
