Condition,Balance,Constraint,Classifier,Accuracy,DPD,EOD,FNR_Women
7,LASSO,DP,LR,0.7413333333333334,0.0388343462677263,0.0939521531100478,0.1133333333333333
8,LASSO,DP,RF,0.744,0.029172510518934,0.0449122807017543,0.0633333333333333
9,LASSO,EO,LR,0.7546666666666668,0.0367773102695963,0.0801116427432217,0.1133333333333333
10,LASSO,EO,RF,0.756,0.0511765622565061,0.0490845295055821,0.0833333333333333
11,LASSO,EOP,LR,0.7566666666666667,0.0309490416082281,0.0542264752791068,0.1133333333333333
12,LASSO,EOP,RF,0.7526666666666667,0.0588125292192613,0.0575215311004784,0.09
