Condition,Balance,Constraint,Classifier,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,DPD,EOD,FNR_Women
7,LASSO,DemographicParity,Logistic Regression,0.7573333333333333,0.6749206349206348,0.880952380952381,0.4688888888888889,0.01820165186224094,0.07570972886762357,0.10333333333333335
8,LASSO,DemographicParity,Random Forest,0.7433333333333333,0.6185714285714285,0.9304761904761906,0.3066666666666667,0.07040673211781205,0.09753429027113236,0.1
9,LASSO,EqualizedOdds,Logistic Regression,0.752,0.6679365079365078,0.8780952380952382,0.45777777777777773,0.03958235935795542,0.09000637958532695,0.11333333333333333
10,LASSO,EqualizedOdds,Random Forest,0.7453333333333333,0.632063492063492,0.9152380952380954,0.3488888888888889,0.08022440392706871,0.11528229665071768,0.11333333333333333
11,LASSO,EqualOpportunity,Logistic Regression,0.756,0.6746031746031745,0.8780952380952382,0.47111111111111115,0.0333489169393798,0.07336523125996808,0.10999999999999999
12,LASSO,EqualOpportunity,Random Forest,0.744,0.6285714285714284,0.9171428571428573,0.33999999999999997,0.08602150537634405,0.13676555023923445,0.12
