Condition,Balance,Constraint,Classifier,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,DPD,EOD,FNR_Women
1,None,DemographicParity,Logistic Regression,0.758,0.6773015873015872,0.8790476190476191,0.47555555555555556,0.0227208976157083,0.020899521531100484,0.10999999999999999
2,None,DemographicParity,Random Forest,0.7553333333333334,0.6296825396825396,0.9438095238095239,0.3155555555555555,0.07071840423874083,0.11419457735247207,0.06999999999999999
3,None,EqualizedOdds,Logistic Regression,0.7620000000000001,0.6826984126984128,0.880952380952381,0.4844444444444444,0.039488857721676804,0.03891547049441786,0.11666666666666667
4,None,EqualizedOdds,Random Forest,0.764,0.6574603174603176,0.9238095238095239,0.3911111111111111,0.06744584696898866,0.11007336523125995,0.08333333333333334
5,None,EqualOpportunity,Logistic Regression,0.7666666666666667,0.6892063492063493,0.8828571428571429,0.4955555555555556,0.036590306997039135,0.023923444976076548,0.11666666666666667
6,None,EqualOpportunity,Random Forest,0.7586666666666667,0.6492063492063491,0.9228571428571429,0.37555555555555553,0.09505999688327879,0.12472089314194576,0.11000000000000001
