Condition,Balance,Constraint,Classifier,Accuracy,DPD,EOD,FNR_Women
13,CBPS,DP,LR,0.7493333333333333,0.0299828580333489,0.0797448165869218,0.0966666666666666
14,CBPS,DP,RF,0.7433333333333334,0.0402992052360916,0.043164274322169,0.0833333333333333
15,CBPS,EO,LR,0.7546666666666667,0.0288608383980052,0.0842105263157894,0.1133333333333333
16,CBPS,EO,RF,0.7459999999999999,0.0527037556490571,0.0518915470494417,0.1066666666666666
17,CBPS,EOP,LR,0.7540000000000001,0.0208508648901355,0.0599681020733652,0.1133333333333333
18,CBPS,EOP,RF,0.7573333333333333,0.0498052049244195,0.0605071770334928,0.0933333333333333
