,LR_mean,LR_SD,RF_mean,RF_SD
Accuracy,0.7633333333333333,0.0,0.764,0.0054772255750516
Balanced_Accuracy,0.6849206349206349,0.0,0.6574603174603176,0.0078687584494891
Sensitivity,0.880952380952381,1.2412670766236366e-16,0.923809523809524,0.0033671751485073
Specificity,0.4888888888888888,6.206335383118183e-17,0.3911111111111111,0.0144871164560059
DPD,0.0406732117812062,0.0,0.0674458469689886,0.0175920208182222
EOD,0.0414673046251993,0.0,0.1100733652312599,0.0599889101637384
FNR_Women,0.1166666666666666,0.0,0.0833333333333333,0.0117851130197757
