Condition,Balance,Constraint,Classifier,Accuracy,DPD,EOD,FNR_Women
1,None,DP,LR,0.758,0.0227208976157083,0.0208995215311004,0.1099999999999999
2,None,DP,RF,0.7553333333333334,0.0707184042387408,0.114194577352472,0.0699999999999999
3,None,EO,LR,0.7620000000000001,0.0394888577216768,0.0389154704944178,0.1166666666666666
4,None,EO,RF,0.764,0.0674458469689886,0.1100733652312599,0.0833333333333333
5,None,EOP,LR,0.7666666666666667,0.0365903069970391,0.0239234449760765,0.1166666666666666
6,None,EOP,RF,0.7586666666666667,0.0950599968832787,0.1247208931419457,0.11
