Condition,Balance,Constraint,Classifier,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,DPD,EOD,FNR_Women
7,LASSO,DemographicParity,Logistic Regression,0.7466666666666667,0.6628571428571428,0.8723809523809523,0.4533333333333333,0.025183107371045656,0.03861562998405099,0.10666666666666666
8,LASSO,DemographicParity,Random Forest,0.7406666666666666,0.6141269841269841,0.9304761904761906,0.2977777777777778,0.055571139161601966,0.10498883572567783,0.09666666666666666
9,LASSO,EqualizedOdds,Logistic Regression,0.7466666666666666,0.6685714285714285,0.8638095238095238,0.47333333333333333,0.03496961196820943,0.05288995215311002,0.12666666666666665
10,LASSO,EqualizedOdds,Random Forest,0.7326666666666666,0.6141269841269842,0.9104761904761904,0.3177777777777777,0.08268661368240612,0.14064433811802232,0.13333333333333333
11,LASSO,EqualOpportunity,Logistic Regression,0.7466666666666667,0.6622222222222222,0.8733333333333333,0.45111111111111113,0.0352812840891382,0.0695885167464115,0.11666666666666665
12,LASSO,EqualOpportunity,Random Forest,0.7413333333333334,0.6222222222222222,0.9200000000000002,0.3244444444444444,0.07386629266012154,0.0903732057416268,0.12333333333333334
