Condition,Balance,Constraint,Classifier,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,DPD,EOD,FNR_Women
13,CBPS,DemographicParity,Logistic Regression,0.7473333333333333,0.667142857142857,0.8676190476190475,0.4666666666666666,0.02209755337385071,0.0638468899521531,0.12666666666666668
14,CBPS,DemographicParity,Random Forest,0.746,0.6141269841269842,0.9438095238095239,0.2844444444444444,0.05619448340345954,0.14226475279106857,0.07333333333333333
15,CBPS,EqualizedOdds,Logistic Regression,0.7533333333333333,0.672063492063492,0.8752380952380954,0.4688888888888888,0.0219417173133863,0.0377511961722488,0.12333333333333334
16,CBPS,EqualizedOdds,Random Forest,0.748,0.6314285714285715,0.9228571428571429,0.33999999999999997,0.09181860682561942,0.10982775119617225,0.13
17,CBPS,EqualOpportunity,Logistic Regression,0.7586666666666666,0.6822222222222221,0.8733333333333334,0.49111111111111116,0.028860838398005285,0.05651674641148324,0.12
18,CBPS,EqualOpportunity,Random Forest,0.7380000000000001,0.6141269841269842,0.9238095238095239,0.30444444444444446,0.08019323671497587,0.11294098883572568,0.12
